video_id,subject,action,start,end,confidence,camera
0002-L,2,32,182,235,2,1
0002-L,2,4,454,510,2,1
0002-L,2,31,746,840,2,1
0002-L,2,38,919,979,2,1
0002-L,2,23,1085,1244,2,1
0002-L,2,39,1279,1344,2,1
0002-L,2,20,1518,1642,2,1
0002-L,2,29,1765,1813,2,1
0002-L,2,9,2205,2224,2,1
0002-L,2,22,2505,2556,2,1
0002-L,2,19,2703,2727,2,1
0002-L,2,41,2799,2878,2,1
0002-L,2,8,2982,3089,2,1
0002-L,2,10,3197,3339,2,1
0002-L,2,44,3402,3595,2,1
0002-L,2,11,3677,3701,2,1
0002-L,2,15,3876,3920,2,1
0002-L,2,45,4009,4138,1,1
0002-L,2,42,4162,4282,2,1
0002-L,2,43,4338,4462,2,1
0003-L,3,50,90,158,1,1
0003-L,3,3,242,370,2,1
0003-L,3,2,470,619,2,1
0003-L,3,48,698,957,2,1
0003-L,3,37,1009,1176,2,1
0003-L,3,25,1304,1368,2,1
0003-L,3,33,1508,1543,2,1
0003-L,3,34,1598,1621,2,1
0003-L,3,6,1786,1836,2,1
0003-L,3,7,1940,2020,2,1
0003-L,3,13,2093,2182,2,1
0003-L,3,17,2367,2401,2,1
0003-L,3,36,2526,2573,2,1
0003-L,3,49,2691,2739,2,1
0003-L,3,30,2851,3014,2,1
0003-L,3,51,3105,3223,2,1
0003-L,3,46,3331,3394,2,1
0003-L,3,40,3606,3729,2,1
0003-L,3,1,4052,4120,2,1
0003-L,3,5,4219,4281,2,1
0004-L,4,32,131,196,2,1
0004-L,4,4,372,423,2,1
0004-L,4,31,658,787,1,1
0004-L,4,38,1540,1579,2,1
0004-L,4,23,1688,1790,2,1
0004-L,4,39,1856,1943,2,1
0004-L,4,29,2047,2097,2,1
0004-L,4,46,2212,2287,2,1
0004-L,4,47,2436,2565,1,1
0004-L,4,1,2898,2948,2,1
0004-L,4,15,3058,3107,2,1
0004-L,4,7,3273,3330,2,1
0004-L,4,5,3513,3574,2,1
0004-L,4,36,3667,3711,2,1
0004-L,4,49,3780,3877,1,1
0004-L,4,50,4045,4138,1,1
0004-L,4,2,4304,4418,2,1
0005-L,5,26,229,293,2,1
0005-L,5,18,377,423,2,1
0005-L,5,27,462,488,0,1
0005-L,5,21,596,666,2,1
0005-L,5,24,819,870,2,1
0005-L,5,16,983,1083,2,1
0005-L,5,12,1170,1256,2,1
0005-L,5,14,1295,1367,2,1
0006-L,6,24,114,162,2,1
0006-L,6,12,343,435,2,1
0006-L,6,21,519,597,2,1
0006-L,6,27,637,694,0,1
0006-L,6,26,760,834,2,1
0006-L,6,18,1078,1101,2,1
0006-L,6,14,1177,1259,2,1
0006-L,6,16,1341,1424,2,1
0007-L,7,50,133,220,1,1
0007-L,7,3,349,503,2,1
0007-L,7,2,614,771,2,1
0007-L,7,48,902,1245,2,1
0007-L,7,47,1288,1443,2,1
0007-L,7,37,1508,1639,2,1
0007-L,7,33,1857,1899,2,1
0007-L,7,6,2143,2272,2,1
0007-L,7,7,2384,2470,2,1
0007-L,7,13,2532,2642,2,1
0007-L,7,17,2685,2730,2,1
0007-L,7,36,2820,2889,1,1
0007-L,7,49,2889,3024,2,1
0007-L,7,30,3126,3306,2,1
0007-L,7,51,3406,3514,2,1
0007-L,7,46,3620,3660,2,1
0007-L,7,40,3773,3893,2,1
0007-L,7,1,4010,4054,2,1
0007-L,7,5,4126,4230,2,1
0008-L,8,32,102,157,2,1
0008-L,8,4,222,274,2,1
0008-L,8,31,381,478,2,1
0008-L,8,38,564,607,2,1
0008-L,8,23,702,834,2,1
0008-L,8,29,958,994,2,1
0008-L,8,9,1228,1269,2,1
0008-L,8,22,1379,1402,2,1
0008-L,8,19,1538,1614,2,1
0008-L,8,41,1720,1778,2,1
0008-L,8,8,1868,2013,2,1
0008-L,8,10,2038,2238,2,1
0008-L,8,44,2294,2428,1,1
0008-L,8,11,2463,2495,2,1
0008-L,8,17,2611,2688,2,1
0008-L,8,45,2773,2862,2,1
0008-L,8,42,2891,3006,2,1
0008-L,8,43,3047,3183,2,1
0009-L,9,38,192,223,2,1
0009-L,9,23,306,447,2,1
0009-L,9,29,507,549,2,1
0009-L,9,48,675,981,2,1
0009-L,9,33,1004,1050,2,1
0009-L,9,34,1124,1147,2,1
0009-L,9,37,1240,1405,2,1
0009-L,9,36,1466,1572,2,1
0009-L,9,49,1594,1686,2,1
0009-L,9,51,1781,1910,2,1
0009-L,9,30,2014,2180,2,1
0009-L,9,46,2295,2351,2,1
0009-L,9,19,2609,2646,2,1
0009-L,9,25,2726,2790,2,1
0009-L,9,1,2826,2874,2,1
0009-L,9,8,2980,3144,2,1
0009-L,9,3,3264,3487,2,1
0009-L,9,2,3579,3812,2,1
0009-L,9,10,3905,4089,2,1
0009-L,9,47,4225,4397,2,1
0009-L,9,38,4472,4500,2,1
