video_id,subject,action,start,end,confidence,camera
0002-M,2,32,182,231,2,2
0002-M,2,4,455,503,2,2
0002-M,2,31,742,840,2,2
0002-M,2,38,917,954,2,2
0002-M,2,23,1076,1219,2,2
0002-M,2,39,1279,1328,2,2
0002-M,2,20,1500,1628,2,2
0002-M,2,29,1747,1790,2,2
0002-M,2,9,2186,2209,2,2
0002-M,2,22,2475,2556,2,2
0002-M,2,19,2689,2744,2,2
0002-M,2,41,2792,2857,2,2
0002-M,2,8,2981,3086,2,2
0002-M,2,10,3198,3338,2,2
0002-M,2,44,3405,3584,2,2
0002-M,2,11,3679,3707,2,2
0002-M,2,15,3856,3927,2,2
0002-M,2,45,4004,4103,1,2
0002-M,2,42,4157,4286,2,2
0002-M,2,43,4334,4458,2,2
0002-R,2,32,196,242,2,3
0002-R,2,4,470,488,2,3
0002-R,2,31,760,858,2,3
0002-R,2,38,945,985,2,3
0002-R,2,23,1105,1203,2,3
0002-R,2,39,1305,1356,2,3
0002-R,2,20,1534,1632,2,3
0002-R,2,29,1780,1819,2,3
0002-R,2,9,2224,2251,2,3
0002-R,2,22,2523,2590,2,3
0002-R,2,19,2715,2779,2,3
0002-R,2,41,2839,2900,2,3
0002-R,2,8,3029,3133,2,3
0002-R,2,10,3243,3380,2,3
0002-R,2,44,3446,3627,2,3
0002-R,2,11,3724,3748,2,3
0002-R,2,15,3917,3990,2,3
0002-R,2,45,4050,4159,1,3
0002-R,2,42,4215,4310,2,3
0002-R,2,43,4392,4511,2,3
0003-M,3,50,90,158,1,2
0003-M,3,3,235,355,2,2
0003-M,3,2,463,585,2,2
0003-M,3,48,654,892,2,2
0003-M,3,37,950,1097,2,2
0003-M,3,25,1209,1272,2,2
0003-M,3,33,1396,1432,2,2
0003-M,3,34,1480,1501,2,2
0003-M,3,6,1655,1705,2,2
0003-M,3,7,1796,1865,2,2
0003-M,3,13,1910,2017,2,2
0003-M,3,17,2166,2220,2,2
0003-M,3,36,2330,2370,2,2
0003-M,3,49,2480,2525,2,2
0003-M,3,30,2627,2777,2,2
0003-M,3,51,2863,2966,2,2
0003-M,3,46,3078,3129,2,2
0003-M,3,40,3306,3416,2,2
0003-M,3,1,3711,3770,2,2
0003-M,3,5,3872,3943,2,2
0003-R,3,50,90,178,1,3
0003-R,3,3,240,354,2,3
0003-R,3,2,473,589,2,3
0003-R,3,48,670,913,2,3
0003-R,3,37,954,1109,2,3
0003-R,3,25,1209,1292,2,3
0003-R,3,33,1401,1424,2,3
0003-R,3,34,1472,1487,2,3
0003-R,3,6,1633,1684,2,3
0003-R,3,7,1767,1847,2,3
0003-R,3,13,1910,2037,2,3
0003-R,3,17,2166,2250,2,3
0003-R,3,36,2360,2401,2,3
0003-R,3,49,2526,2570,2,3
0003-R,3,30,2680,2845,2,3
0003-R,3,51,2942,3054,2,3
0003-R,3,46,3178,3218,2,3
0003-R,3,40,3442,3572,2,3
0003-R,3,1,3897,3958,2,3
0003-R,3,5,4058,4133,2,3
0004-M,4,32,128,189,2,2
0004-M,4,4,369,413,2,2
0004-M,4,31,652,783,2,2
0004-M,4,38,1530,1579,2,2
0004-M,4,23,1660,1772,2,2
0004-M,4,39,1845,1926,2,2
0004-M,4,29,2016,2072,2,2
0004-M,4,46,2186,2252,2,2
0004-M,4,47,2419,2534,1,2
0004-M,4,1,2870,2917,2,2
0004-M,4,15,3015,3078,2,2
0004-M,4,7,3232,3286,2,2
0004-M,4,5,3506,3529,2,2
0004-M,4,36,3626,3670,2,2
0004-M,4,49,3738,3833,2,2
0004-M,4,50,3990,4098,1,2
0004-M,4,2,4260,4373,2,2
0004-R,4,32,132,189,2,3
0004-R,4,4,368,423,2,3
0004-R,4,31,657,773,2,3
0004-R,4,38,1550,1590,2,3
0004-R,4,23,1682,1788,2,3
0004-R,4,39,1856,1934,2,3
0004-R,4,29,2047,2081,2,3
0004-R,4,46,2201,2268,2,3
0004-R,4,47,2419,2541,1,3
0004-R,4,1,2880,2929,2,3
0004-R,4,15,3015,3108,2,3
0004-R,4,7,3237,3294,2,3
0004-R,4,5,3481,3540,2,3
0004-R,4,36,3635,3684,2,3
0004-R,4,49,3750,3849,2,3
0004-R,4,50,3990,4118,1,3
0004-R,4,2,4266,4376,2,3
0005-M,5,26,217,295,2,2
0005-M,5,18,381,412,2,2
0005-M,5,27,463,508,0,2
0005-M,5,21,606,683,2,2
0005-M,5,24,822,881,2,2
0005-M,5,16,976,1098,2,2
0005-M,5,12,1171,1257,2,2
0005-M,5,14,1294,1381,2,2
0005-R,5,26,202,281,2,3
0005-R,5,18,374,416,2,3
0005-R,5,27,456,518,0,3
0005-R,5,21,599,680,2,3
0005-R,5,24,820,882,2,3
0005-R,5,16,979,1102,2,3
0005-R,5,12,1179,1264,2,3
0005-R,5,14,1296,1390,2,3
0006-M,6,24,111,156,2,2
0006-M,6,12,332,424,2,2
0006-M,6,21,504,569,2,2
0006-M,6,27,619,676,0,2
0006-M,6,26,741,815,2,2
0006-M,6,18,1053,1076,2,2
0006-M,6,14,1149,1231,2,2
0006-M,6,16,1314,1392,2,2
0006-R,6,24,118,166,2,3
0006-R,6,12,348,443,2,3
0006-R,6,21,526,591,2,3
0006-R,6,27,643,699,0,3
0006-R,6,26,767,844,2,3
0006-R,6,18,1092,1115,2,3
0006-R,6,14,1190,1279,2,3
0006-R,6,16,1350,1441,2,3
0007-M,7,50,133,220,1,2
0007-M,7,3,344,501,2,2
0007-M,7,2,607,767,2,2
0007-M,7,48,898,1235,2,2
0007-M,7,47,1279,1427,2,2
0007-M,7,37,1520,1628,2,2
0007-M,7,33,1857,1896,2,2
0007-M,7,6,2139,2255,2,2
0007-M,7,7,2367,2452,2,2
0007-M,7,13,2515,2630,2,2
0007-M,7,17,2667,2722,2,2
0007-M,7,36,2802,2877,1,2
0007-M,7,49,2877,2983,2,2
0007-M,7,30,3108,3285,2,2
0007-M,7,51,3386,3490,2,2
0007-M,7,46,3596,3628,2,2
0007-M,7,40,3758,3864,2,2
0007-M,7,1,3981,4031,2,2
0007-M,7,5,4098,4200,2,2
0007-R,7,50,133,220,1,3
0007-R,7,3,344,506,2,3
0007-R,7,2,616,776,2,3
0007-R,7,48,906,1240,2,3
0007-R,7,47,1287,1439,2,3
0007-R,7,37,1505,1641,2,3
0007-R,7,33,1866,1894,2,3
0007-R,7,6,2147,2311,2,3
0007-R,7,7,2379,2460,2,3
0007-R,7,13,2515,2630,2,3
0007-R,7,17,2667,2732,2,3
0007-R,7,36,2813,2885,1,3
0007-R,7,49,2920,2993,2,3
0007-R,7,30,3138,3298,2,3
0007-R,7,51,3394,3502,2,3
0007-R,7,46,3613,3644,2,3
0007-R,7,40,3768,3875,2,3
0007-R,7,1,3992,4036,2,3
0007-R,7,5,4108,4217,2,3
0008-M,8,32,102,157,2,2
0008-M,8,4,215,260,2,2
0008-M,8,31,378,471,2,2
0008-M,8,38,574,607,2,2
0008-M,8,23,700,827,2,2
0008-M,8,29,925,986,2,2
0008-M,8,9,1217,1263,2,2
0008-M,8,22,1350,1435,2,2
0008-M,8,19,1538,1614,2,2
0008-M,8,41,1713,1771,2,2
0008-M,8,8,1858,2004,2,2
0008-M,8,10,2057,2226,2,2
0008-M,8,44,2286,2408,1,2
0008-M,8,11,2454,2493,2,2
0008-M,8,17,2596,2688,2,2
0008-M,8,45,2766,2855,2,2
0008-M,8,42,2888,2987,2,2
0008-M,8,43,3035,3172,2,2
0008-R,8,32,102,161,2,3
0008-R,8,4,218,269,2,3
0008-R,8,31,372,466,2,3
0008-R,8,38,564,607,2,3
0008-R,8,23,707,831,2,3
0008-R,8,29,951,972,2,3
0008-R,8,9,1212,1256,2,3
0008-R,8,22,1350,1435,2,3
0008-R,8,19,1538,1614,2,3
0008-R,8,41,1710,1770,2,3
0008-R,8,8,1861,2002,2,3
0008-R,8,10,2060,2224,2,3
0008-R,8,44,2284,2393,1,3
0008-R,8,11,2446,2479,2,3
0008-R,8,17,2596,2688,2,3
0008-R,8,45,2759,2847,2,3
