video_id,subject,action,start,end,confidence,camera
0002-L,2,32,182,235,2,1
0002-L,2,4,454,510,2,1
0002-L,2,31,746,840,2,1
0002-L,2,38,919,979,2,1
0002-L,2,23,1085,1244,2,1
0002-L,2,39,1279,1344,2,1
0002-L,2,20,1518,1642,2,1
0002-L,2,29,1765,1813,2,1
0002-L,2,9,2205,2224,2,1
0002-L,2,22,2505,2556,2,1
0002-L,2,19,2703,2727,2,1
0002-L,2,41,2799,2878,2,1
0002-L,2,8,2982,3089,2,1
0002-L,2,10,3197,3339,2,1
0002-L,2,44,3402,3595,2,1
0002-L,2,11,3677,3701,2,1
0002-L,2,15,3876,3920,2,1
0002-L,2,45,4009,4138,1,1
0002-L,2,42,4162,4282,2,1
0002-L,2,43,4338,4462,2,1
0002-M,2,32,182,231,2,2
0002-M,2,4,455,503,2,2
0002-M,2,31,742,840,2,2
0002-M,2,38,917,954,2,2
0002-M,2,23,1076,1219,2,2
0002-M,2,39,1279,1328,2,2
0002-M,2,20,1500,1628,2,2
0002-M,2,29,1747,1790,2,2
0002-M,2,9,2186,2209,2,2
0002-M,2,22,2475,2556,2,2
0002-M,2,19,2689,2744,2,2
0002-M,2,41,2792,2857,2,2
0002-M,2,8,2981,3086,2,2
0002-M,2,10,3198,3338,2,2
0002-M,2,44,3405,3584,2,2
0002-M,2,11,3679,3707,2,2
0002-M,2,15,3856,3927,2,2
0002-M,2,45,4004,4103,1,2
0002-M,2,42,4157,4286,2,2
0002-M,2,43,4334,4458,2,2
0002-R,2,32,196,242,2,3
0002-R,2,4,470,488,2,3
0002-R,2,31,760,858,2,3
0002-R,2,38,945,985,2,3
0002-R,2,23,1105,1203,2,3
0002-R,2,39,1305,1356,2,3
0002-R,2,20,1534,1632,2,3
0002-R,2,29,1780,1819,2,3
0002-R,2,9,2224,2251,2,3
0002-R,2,22,2523,2590,2,3
0002-R,2,19,2715,2779,2,3
0002-R,2,41,2839,2900,2,3
0002-R,2,8,3029,3133,2,3
0002-R,2,10,3243,3380,2,3
0002-R,2,44,3446,3627,2,3
0002-R,2,11,3724,3748,2,3
0002-R,2,15,3917,3990,2,3
0002-R,2,45,4050,4159,1,3
0002-R,2,42,4215,4310,2,3
0002-R,2,43,4392,4511,2,3
0003-L,3,50,90,158,1,1
0003-L,3,3,242,370,2,1
0003-L,3,2,470,619,2,1
0003-L,3,48,698,957,2,1
0003-L,3,37,1009,1176,2,1
0003-L,3,25,1304,1368,2,1
0003-L,3,33,1508,1543,2,1
0003-L,3,34,1598,1621,2,1
0003-L,3,6,1786,1836,2,1
0003-L,3,7,1940,2020,2,1
0003-L,3,13,2093,2182,2,1
0003-L,3,17,2367,2401,2,1
0003-L,3,36,2526,2573,2,1
0003-L,3,49,2691,2739,2,1
0003-L,3,30,2851,3014,2,1
0003-L,3,51,3105,3223,2,1
0003-L,3,46,3331,3394,2,1
0003-L,3,40,3606,3729,2,1
0003-L,3,1,4052,4120,2,1
0003-L,3,5,4219,4281,2,1
0003-M,3,50,90,158,1,2
0003-M,3,3,235,355,2,2
0003-M,3,2,463,585,2,2
0003-M,3,48,654,892,2,2
0003-M,3,37,950,1097,2,2
0003-M,3,25,1209,1272,2,2
0003-M,3,33,1396,1432,2,2
0003-M,3,34,1480,1501,2,2
0003-M,3,6,1655,1705,2,2
0003-M,3,7,1796,1865,2,2
0003-M,3,13,1910,2017,2,2
0003-M,3,17,2166,2220,2,2
0003-M,3,36,2330,2370,2,2
0003-M,3,49,2480,2525,2,2
0003-M,3,30,2627,2777,2,2
0003-M,3,51,2863,2966,2,2
0003-M,3,46,3078,3129,2,2
0003-M,3,40,3306,3416,2,2
0003-M,3,1,3711,3770,2,2
0003-M,3,5,3872,3943,2,2
0003-R,3,50,90,178,1,3
0003-R,3,3,240,354,2,3
0003-R,3,2,473,589,2,3
0003-R,3,48,670,913,2,3
0003-R,3,37,954,1109,2,3
0003-R,3,25,1209,1292,2,3
0003-R,3,33,1401,1424,2,3
0003-R,3,34,1472,1487,2,3
0003-R,3,6,1633,1684,2,3
0003-R,3,7,1767,1847,2,3
0003-R,3,13,1910,2037,2,3
0003-R,3,17,2166,2250,2,3
0003-R,3,36,2360,2401,2,3
0003-R,3,49,2526,2570,2,3
0003-R,3,30,2680,2845,2,3
0003-R,3,51,2942,3054,2,3
0003-R,3,46,3178,3218,2,3
0003-R,3,40,3442,3572,2,3
0003-R,3,1,3897,3958,2,3
0003-R,3,5,4058,4133,2,3
0004-L,4,32,131,196,2,1
0004-L,4,4,372,423,2,1
0004-L,4,31,658,787,1,1
0004-L,4,38,1540,1579,2,1
0004-L,4,23,1688,1790,2,1
0004-L,4,39,1856,1943,2,1
0004-L,4,29,2047,2097,2,1
0004-L,4,46,2212,2287,2,1
0004-L,4,47,2436,2565,1,1
0004-L,4,1,2898,2948,2,1
